Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6726","Organic soils","2013","2013","gigagrams","17.0331","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6726","Organic soils","2014","2014","gigagrams","49.2621","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6726","Organic soils","2015","2015","gigagrams","52.269","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6726","Organic soils","2016","2016","gigagrams","5.1693","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6726","Organic soils","2017","2017","gigagrams","5.1693","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6726","Organic soils","2012","2012","gigagrams","2065.189","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6726","Organic soils","2013","2013","gigagrams","1776.5798","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6726","Organic soils","2014","2014","gigagrams","5144.1971","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6726","Organic soils","2015","2015","gigagrams","5460.1493","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6726","Organic soils","2016","2016","gigagrams","539.1812","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722511","Emissions (CH4) (Burning biomass)","6726","Organic soils","2017","2017","gigagrams","539.1812","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6726","Organic soils","2012","2012","gigagrams","6126.6292","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6726","Organic soils","2013","2013","gigagrams","5280.2641","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6726","Organic soils","2014","2014","gigagrams","15271.2541","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6726","Organic soils","2015","2015","gigagrams","16203.3869","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6726","Organic soils","2016","2016","gigagrams","1602.4923","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","724311","Emissions (CO2eq) from N2O (Burning biomass)","6726","Organic soils","2017","2017","gigagrams","1602.4923","Fc","Calculated data"
